Age,VIP,HomePlanet,deck,num,side,Age_Pred,CabinMult,Transported,num_Pred
39,FALSE,Europa,B,0,P,0.488121265284679,FALSE,FALSE,0.503759069596325
24,FALSE,Earth,F,0,S,0.467003809289332,FALSE,TRUE,0.503759069596325
58,TRUE,Europa,A,0,S,0.492739729609023,TRUE,FALSE,0.503759069596325
33,FALSE,Europa,A,0,S,0.475823164699399,TRUE,FALSE,0.503759069596325
16,FALSE,Earth,F,1,S,0.514670133184028,FALSE,TRUE,0.504283314243212
44,FALSE,Earth,F,0,P,0.494129432693173,FALSE,TRUE,0.503759069596325
26,FALSE,Earth,F,2,S,0.465475555687279,FALSE,TRUE,0.5048075473513
28,FALSE,Earth,G,0,S,0.466619574212593,FALSE,TRUE,0.503759069596325
35,FALSE,Earth,F,3,S,0.480282046309717,FALSE,TRUE,0.505331764155149
14,FALSE,Europa,B,1,P,0.538696686546262,TRUE,TRUE,0.504283314243212
34,FALSE,Europa,B,1,P,0.478063387574337,TRUE,TRUE,0.504283314243212
45,FALSE,Europa,B,1,P,0.494801619322492,TRUE,TRUE,0.504283314243212
32,FALSE,Mars,F,1,P,0.4736183003833,FALSE,TRUE,0.504283314243212
48,FALSE,Earth,G,1,S,0.495947987155313,FALSE,FALSE,0.504283314243212
28,FALSE,Earth,F,2,P,0.466619574212593,FALSE,TRUE,0.5048075473513
31,FALSE,Earth,F,903,P,0.471515240450065,FALSE,FALSE,0.62510898738379
27,FALSE,Mars,F,3,P,0.465767467184384,FALSE,FALSE,0.505331764155149
24,FALSE,Earth,F,4,P,0.467003809289332,FALSE,FALSE,0.505855958119673
45,FALSE,Mars,F,5,P,0.494801619322492,FALSE,TRUE,0.506380120965928
0,FALSE,Earth,G,0,P,0.761507932271289,FALSE,TRUE,0.503759069596325
14,FALSE,Earth,F,6,P,0.538696686546262,FALSE,FALSE,0.506904242696986
1,FALSE,Earth,E,0,S,0.74682965655286,TRUE,FALSE,0.503759069596325
49,FALSE,Earth,E,0,S,0.496085370532005,TRUE,FALSE,0.503759069596325
29,FALSE,Earth,E,0,S,0.467926972205844,TRUE,FALSE,0.503759069596325
10,FALSE,Earth,E,0,S,0.598468269170904,TRUE,TRUE,0.503759069596325
1,FALSE,Earth,E,0,S,0.74682965655286,TRUE,FALSE,0.503759069596325
7,FALSE,Earth,E,0,S,0.648988115692533,TRUE,FALSE,0.503759069596325
21,FALSE,Mars,D,0,P,0.476137387385959,FALSE,FALSE,0.503759069596325
62,FALSE,Europa,C,2,S,0.487251249515814,FALSE,TRUE,0.5048075473513
15,FALSE,Earth,F,6,S,0.526104477689834,FALSE,FALSE,0.506904242696986
34,FALSE,Europa,C,0,P,0.478063387574337,FALSE,FALSE,0.503759069596325
43,FALSE,Mars,F,8,P,0.493290531199942,FALSE,FALSE,0.507952314391425
32,FALSE,Earth,G,4,S,0.4736183003833,FALSE,FALSE,0.505855958119673
47,FALSE,Mars,F,9,P,0.495697041270013,TRUE,TRUE,0.508476236004387
2,FALSE,Mars,F,9,P,0.731580856235221,TRUE,TRUE,0.508476236004387
20,FALSE,Mars,F,9,P,0.481370609361581,TRUE,TRUE,0.508476236004387
28,FALSE,Europa,D,1,S,0.466619574212593,FALSE,TRUE,0.504283314243212
23,FALSE,Mars,D,1,P,0.469037448412813,FALSE,FALSE,0.504283314243212
15,FALSE,Earth,F,8,S,0.526104477689834,FALSE,FALSE,0.507952314391425
20,FALSE,Earth,F,10,S,0.481370609361581,FALSE,FALSE,0.509000059853353
30,FALSE,Earth,G,1,P,0.469589850791481,FALSE,FALSE,0.504283314243212
17,FALSE,Earth,G,2,P,0.504457340885458,FALSE,TRUE,0.5048075473513
45,FALSE,Europa,B,3,P,0.494801619322492,FALSE,FALSE,0.505331764155149
55,FALSE,Earth,G,3,P,0.494880498303834,TRUE,FALSE,0.505331764155149
4,FALSE,Earth,G,3,P,0.699560233182656,TRUE,TRUE,0.505331764155149
21,FALSE,Earth,G,3,P,0.476137387385959,TRUE,TRUE,0.505331764155149
21,FALSE,Mars,F,10,P,0.476137387385959,TRUE,FALSE,0.509000059853353
19,FALSE,Mars,F,10,P,0.487811984241333,TRUE,TRUE,0.509000059853353
35,FALSE,Earth,E,1,S,0.480282046309717,FALSE,FALSE,0.504283314243212
56,FALSE,Earth,E,2,S,0.494312928790303,FALSE,FALSE,0.5048075473513
60,FALSE,Earth,G,6,S,0.490440727415283,FALSE,FALSE,0.506904242696986
25,FALSE,Earth,F,11,S,0.465851641514145,FALSE,TRUE,0.509523767740421
2,FALSE,Europa,A,1,S,0.731580856235221,TRUE,TRUE,0.504283314243212
38,FALSE,Europa,A,1,S,0.486377351766082,TRUE,TRUE,0.504283314243212
27,FALSE,Europa,A,1,S,0.465767467184384,TRUE,TRUE,0.504283314243212
36,FALSE,Earth,G,7,S,0.482431571766483,FALSE,FALSE,0.507428311623844
22,FALSE,Earth,F,12,S,0.472051981947619,FALSE,FALSE,0.510047339905734
62,FALSE,Earth,F,13,S,0.487251249515814,FALSE,FALSE,0.510570755052966
15,FALSE,Mars,F,14,S,0.526104477689834,FALSE,TRUE,0.511093990375768
33,FALSE,Earth,E,3,S,0.475823164699399,FALSE,TRUE,0.505331764155149
62,FALSE,Earth,G,6,P,0.487251249515814,FALSE,FALSE,0.506904242696986
0,FALSE,Earth,G,10,S,0.761507932271289,TRUE,TRUE,0.509000059853353
18,FALSE,Earth,G,10,S,0.495501823932408,TRUE,TRUE,0.509000059853353
21,FALSE,Earth,F,15,S,0.476137387385959,FALSE,FALSE,0.511617021583333
53,FALSE,Mars,E,4,S,0.495666255229411,FALSE,FALSE,0.505855958119673
42,FALSE,Earth,F,16,S,0.492274805867181,FALSE,TRUE,0.512139822926846
19,FALSE,Earth,F,13,P,0.487811984241333,FALSE,FALSE,0.510570755052966
17,FALSE,Earth,F,14,P,0.504457340885458,FALSE,FALSE,0.511093990375768
14,FALSE,Earth,F,17,S,0.538696686546262,FALSE,FALSE,0.51266236722512
37,FALSE,Mars,D,3,P,0.484473377430017,FALSE,FALSE,0.505331764155149
42,FALSE,Europa,C,3,S,0.492274805867181,FALSE,TRUE,0.505331764155149
27,FALSE,Mars,F,18,S,0.465767467184384,FALSE,TRUE,0.513184625890832
28,FALSE,Mars,F,15,P,0.466619574212593,FALSE,TRUE,0.511617021583333
38,FALSE,Europa,C,4,S,0.486377351766082,FALSE,FALSE,0.505855958119673
13,FALSE,Earth,G,13,S,0.55235575350062,FALSE,FALSE,0.510570755052966
42,FALSE,Mars,F,16,P,0.492274805867181,TRUE,FALSE,0.512139822926846
2,FALSE,Mars,F,16,P,0.731580856235221,TRUE,TRUE,0.512139822926846
8,FALSE,Mars,F,16,P,0.631936960544721,TRUE,TRUE,0.512139822926846
24,FALSE,Earth,G,14,S,0.467003809289332,FALSE,TRUE,0.511093990375768
40,FALSE,Europa,C,5,S,0.489690126489503,FALSE,TRUE,0.506380120965928
43,FALSE,Earth,F,17,P,0.493290531199942,FALSE,FALSE,0.51266236722512
45,FALSE,Mars,E,5,S,0.494801619322492,FALSE,TRUE,0.506380120965928
35,FALSE,Earth,G,15,S,0.480282046309717,FALSE,TRUE,0.511617021583333
26,FALSE,Earth,G,16,S,0.465475555687279,FALSE,TRUE,0.512139822926846
27,FALSE,Earth,F,20,S,0.465767467184384,FALSE,FALSE,0.514228165100746
19,FALSE,Earth,G,9,P,0.487811984241333,TRUE,FALSE,0.508476236004387
0,FALSE,Earth,G,9,P,0.761507932271289,TRUE,TRUE,0.508476236004387
3,FALSE,Earth,G,9,P,0.715803478802276,TRUE,TRUE,0.508476236004387
54,FALSE,Europa,A,2,S,0.495326820096129,FALSE,FALSE,0.5048075473513
26,FALSE,Earth,G,11,P,0.465475555687279,TRUE,FALSE,0.509523767740421
26,FALSE,Earth,G,11,P,0.465475555687279,TRUE,TRUE,0.509523767740421
23,FALSE,Earth,F,19,P,0.469037448412813,FALSE,FALSE,0.513706568956608
2,FALSE,Earth,G,12,P,0.731580856235221,FALSE,TRUE,0.510047339905734
31,FALSE,Mars,G,1396,P,0.471515240450065,FALSE,TRUE,0.415075133084427
18,FALSE,Earth,F,23,S,0.495501823932408,FALSE,FALSE,0.51579053902061
24,FALSE,Earth,F,24,S,0.467003809289332,FALSE,TRUE,0.516310408088363
9,FALSE,Earth,G,18,S,0.615041227341618,TRUE,TRUE,0.513184625890832
6,FALSE,Earth,G,18,S,0.666035948973391,TRUE,FALSE,0.513184625890832
27,FALSE,Earth,F,21,P,0.465767467184384,FALSE,FALSE,0.514749381673486
21,FALSE,Mars,D,2,S,0.476137387385959,FALSE,FALSE,0.5048075473513
23,FALSE,Earth,G,19,S,0.469037448412813,TRUE,FALSE,0.513706568956608
31,FALSE,Earth,G,19,S,0.471515240450065,TRUE,FALSE,0.513706568956608
0,FALSE,Earth,G,19,S,0.761507932271289,TRUE,TRUE,0.513706568956608
32,FALSE,Europa,G,1000,S,0.4736183003833,FALSE,FALSE,0.629993745535641
40,FALSE,Europa,B,5,P,0.489690126489503,TRUE,FALSE,0.506380120965928
42,FALSE,Europa,B,5,P,0.492274805867181,TRUE,TRUE,0.506380120965928
28,FALSE,Europa,B,5,P,0.466619574212593,TRUE,TRUE,0.506380120965928
29,FALSE,Europa,E,6,S,0.467926972205844,FALSE,TRUE,0.506904242696986
48,TRUE,Europa,B,1,S,0.495947987155313,FALSE,TRUE,0.504283314243212
64,FALSE,Earth,F,23,P,0.483051610633363,FALSE,TRUE,0.51579053902061
