Age,VIP,HomePlanet,deck,num,side,Age_Pred,CabinMult,Transported,num_Pred
39,FALSE,Europa,B,0,P,0.485445331668718,FALSE,FALSE,0.505940235908844
24,FALSE,Earth,F,0,S,0.469318460304171,FALSE,TRUE,0.505940235908844
58,TRUE,Europa,A,0,S,0.486170696425911,TRUE,FALSE,0.505940235908844
33,FALSE,Europa,A,0,S,0.475873404624917,TRUE,FALSE,0.505940235908844
16,FALSE,Earth,F,1,S,0.518263239230872,FALSE,TRUE,0.506453773886745
44,FALSE,Earth,F,0,P,0.489762872905627,FALSE,TRUE,0.505940235908844
26,FALSE,Earth,F,2,S,0.467539909620734,FALSE,TRUE,0.506967296097291
28,FALSE,Earth,G,0,S,0.468320172769239,FALSE,TRUE,0.505940235908844
35,FALSE,Earth,F,3,S,0.479431367813791,FALSE,TRUE,0.507480797795689
14,FALSE,Europa,B,1,P,0.542799987626442,TRUE,TRUE,0.506453773886745
34,FALSE,Europa,B,1,P,0.477672816910236,TRUE,TRUE,0.506453773886745
45,FALSE,Europa,B,1,P,0.490195205956441,TRUE,TRUE,0.506453773886745
32,FALSE,Mars,F,1,P,0.474080513622812,FALSE,TRUE,0.506453773886745
48,FALSE,Earth,G,1,S,0.49074774788984,FALSE,FALSE,0.506453773886745
28,FALSE,Earth,F,2,P,0.468320172769239,FALSE,TRUE,0.506967296097291
31,FALSE,Earth,F,1213,S,0.472352714455833,FALSE,FALSE,0.467630890408093
27,FALSE,Mars,F,3,P,0.467668267888523,FALSE,FALSE,0.507480797795689
24,FALSE,Earth,F,4,P,0.469318460304171,FALSE,FALSE,0.507994272444112
45,FALSE,Mars,F,5,P,0.490195205956441,FALSE,TRUE,0.50850771173801
0,FALSE,Earth,G,0,P,0.765210924096594,FALSE,TRUE,0.505940235908844
14,FALSE,Earth,F,6,P,0.542799987626442,FALSE,FALSE,0.509021105632247
1,FALSE,Earth,E,0,S,0.750771274520377,TRUE,FALSE,0.505940235908844
49,FALSE,Earth,E,0,S,0.490711248450185,TRUE,FALSE,0.505940235908844
29,FALSE,Earth,E,0,S,0.469385087575752,TRUE,FALSE,0.505940235908844
10,FALSE,Earth,E,0,S,0.603390505802044,TRUE,TRUE,0.505940235908844
1,FALSE,Earth,E,0,S,0.750771274520377,TRUE,FALSE,0.505940235908844
7,FALSE,Earth,E,0,S,0.654008861752295,TRUE,FALSE,0.505940235908844
21,FALSE,Mars,D,0,P,0.478785868301823,FALSE,FALSE,0.505940235908844
62,FALSE,Europa,C,2,S,0.48093749101991,FALSE,TRUE,0.506967296097291
15,FALSE,Earth,F,6,S,0.529950489764829,FALSE,FALSE,0.509021105632247
34,FALSE,Europa,C,0,P,0.477672816910236,FALSE,FALSE,0.505940235908844
43,FALSE,Mars,F,8,P,0.489193474680307,FALSE,FALSE,0.510047708500416
32,FALSE,Earth,G,4,S,0.474080513622812,FALSE,FALSE,0.507994272444112
47,FALSE,Mars,F,9,P,0.49067935290121,TRUE,TRUE,0.510560888921663
2,FALSE,Mars,F,9,P,0.735760452259423,TRUE,TRUE,0.510560888921663
20,FALSE,Mars,F,9,P,0.484157180396093,TRUE,TRUE,0.510560888921663
28,FALSE,Europa,D,1,S,0.468320172769239,FALSE,TRUE,0.506453773886745
23,FALSE,Mars,D,1,P,0.471458706402275,FALSE,FALSE,0.506453773886745
15,FALSE,Earth,F,8,S,0.529950489764829,FALSE,FALSE,0.510047708500416
20,FALSE,Earth,F,10,S,0.484157180396093,FALSE,FALSE,0.511073966891329
30,FALSE,Earth,G,1,P,0.470760262736037,FALSE,FALSE,0.506453773886745
17,FALSE,Earth,G,2,P,0.507812229387372,FALSE,TRUE,0.506967296097291
45,FALSE,Europa,B,3,P,0.490195205956441,FALSE,FALSE,0.507480797795689
55,FALSE,Earth,G,3,P,0.488565427774794,TRUE,FALSE,0.507480797795689
4,FALSE,Earth,G,3,P,0.704178781426332,TRUE,TRUE,0.507480797795689
21,FALSE,Earth,G,3,P,0.478785868301823,TRUE,TRUE,0.507480797795689
21,FALSE,Mars,F,10,P,0.478785868301823,TRUE,FALSE,0.511073966891329
19,FALSE,Mars,F,10,P,0.490761144888898,TRUE,TRUE,0.511073966891329
35,FALSE,Earth,E,1,S,0.479431367813791,FALSE,FALSE,0.506453773886745
56,FALSE,Earth,E,2,S,0.487882936690671,FALSE,FALSE,0.506967296097291
29,FALSE,Earth,G,6,S,0.469385087575752,FALSE,FALSE,0.509021105632247
25,FALSE,Earth,F,11,S,0.46805077881633,FALSE,TRUE,0.511586924060845
2,FALSE,Europa,A,1,S,0.735760452259423,TRUE,TRUE,0.506453773886745
38,FALSE,Europa,A,1,S,0.484135648454942,TRUE,TRUE,0.506453773886745
27,FALSE,Europa,A,1,S,0.467668267888523,TRUE,TRUE,0.506453773886745
36,FALSE,Earth,G,7,S,0.481111979216869,FALSE,FALSE,0.509534442368357
22,FALSE,Earth,F,12,S,0.47458132973564,FALSE,FALSE,0.512099740500585
62,FALSE,Earth,F,13,S,0.48093749101991,FALSE,FALSE,0.51261239472645
15,FALSE,Mars,F,14,S,0.529950489764829,FALSE,TRUE,0.513124863726172
33,FALSE,Earth,E,3,S,0.475873404624917,FALSE,TRUE,0.507480797795689
62,FALSE,Earth,G,6,P,0.48093749101991,FALSE,FALSE,0.509021105632247
0,FALSE,Earth,G,10,S,0.765210924096594,TRUE,TRUE,0.511073966891329
18,FALSE,Earth,G,10,S,0.498640667827141,TRUE,TRUE,0.511073966891329
21,FALSE,Earth,F,15,S,0.478785868301823,FALSE,FALSE,0.513637122986215
23,FALSE,Mars,E,4,S,0.471458706402275,FALSE,FALSE,0.507994272444112
42,FALSE,Earth,F,16,S,0.4884806549421,FALSE,TRUE,0.514149146518048
19,FALSE,Earth,F,13,P,0.490761144888898,FALSE,FALSE,0.51261239472645
17,FALSE,Earth,F,14,P,0.507812229387372,FALSE,FALSE,0.513124863726172
14,FALSE,Earth,F,17,S,0.542799987626442,FALSE,FALSE,0.514660906884988
37,FALSE,Mars,D,3,P,0.482686740754654,FALSE,FALSE,0.507480797795689
42,FALSE,Europa,C,3,S,0.4884806549421,FALSE,TRUE,0.507480797795689
27,FALSE,Mars,F,18,S,0.467668267888523,FALSE,TRUE,0.515172375228423
28,FALSE,Mars,F,15,P,0.468320172769239,FALSE,TRUE,0.513637122986215
38,FALSE,Europa,C,4,S,0.484135648454942,FALSE,FALSE,0.507994272444112
13,FALSE,Earth,G,13,S,0.556708386477781,FALSE,FALSE,0.51261239472645
42,FALSE,Mars,F,16,P,0.4884806549421,TRUE,FALSE,0.514149146518048
2,FALSE,Mars,F,16,P,0.735760452259423,TRUE,TRUE,0.514149146518048
8,FALSE,Mars,F,16,P,0.636985542512316,TRUE,TRUE,0.514149146518048
24,FALSE,Earth,G,14,S,0.469318460304171,FALSE,TRUE,0.513124863726172
40,FALSE,Europa,C,5,S,0.486607856113223,FALSE,TRUE,0.50850771173801
