Age,VIP,HomePlanet,Cabin,Transported
39,FALSE,Europa,B/0/P,FALSE
24,FALSE,Earth,F/0/S,TRUE
58,TRUE,Europa,A/0/S,FALSE
33,FALSE,Europa,A/0/S,FALSE
16,FALSE,Earth,F/1/S,TRUE
44,FALSE,Earth,F/0/P,TRUE
26,FALSE,Earth,F/2/S,TRUE
28,FALSE,Earth,G/0/S,TRUE
35,FALSE,Earth,F/3/S,TRUE
14,FALSE,Europa,B/1/P,TRUE
34,FALSE,Europa,B/1/P,TRUE
45,FALSE,Europa,B/1/P,TRUE
32,FALSE,Mars,F/1/P,TRUE
48,FALSE,Earth,G/1/S,FALSE
28,FALSE,Earth,F/2/P,TRUE
31,FALSE,Earth,"",FALSE
27,FALSE,Mars,F/3/P,FALSE
24,FALSE,Earth,F/4/P,FALSE
45,FALSE,Mars,F/5/P,TRUE
0,FALSE,Earth,G/0/P,TRUE
14,FALSE,Earth,F/6/P,FALSE
1,FALSE,Earth,E/0/S,FALSE
49,FALSE,Earth,E/0/S,FALSE
29,FALSE,Earth,E/0/S,FALSE
10,FALSE,Earth,E/0/S,TRUE
1,FALSE,Earth,E/0/S,FALSE
7,FALSE,Earth,E/0/S,FALSE
21,FALSE,Mars,D/0/P,FALSE
62,FALSE,Europa,C/2/S,TRUE
15,FALSE,Earth,F/6/S,FALSE
34,FALSE,Europa,C/0/P,FALSE
43,FALSE,Mars,F/8/P,FALSE
32,FALSE,Earth,G/4/S,FALSE
47,FALSE,Mars,F/9/P,TRUE
2,FALSE,Mars,F/9/P,TRUE
20,FALSE,Mars,F/9/P,TRUE
28,FALSE,Europa,D/1/S,TRUE
23,FALSE,Mars,D/1/P,FALSE
15,FALSE,Earth,F/8/S,FALSE
20,FALSE,Earth,F/10/S,FALSE
30,FALSE,Earth,G/1/P,FALSE
17,FALSE,Earth,G/2/P,TRUE
45,FALSE,Europa,B/3/P,FALSE
55,FALSE,Earth,G/3/P,FALSE
4,FALSE,Earth,G/3/P,TRUE
21,FALSE,Earth,G/3/P,TRUE
21,FALSE,Mars,F/10/P,FALSE
19,FALSE,Mars,F/10/P,TRUE
35,FALSE,Earth,E/1/S,FALSE
56,FALSE,Earth,E/2/S,FALSE
17,FALSE,Earth,G/6/S,FALSE
25,FALSE,Earth,F/11/S,TRUE
2,FALSE,Europa,A/1/S,TRUE
38,FALSE,Europa,A/1/S,TRUE
27,FALSE,Europa,A/1/S,TRUE
36,FALSE,Earth,G/7/S,FALSE
22,FALSE,Earth,F/12/S,FALSE
62,FALSE,Earth,F/13/S,FALSE
15,FALSE,Mars,F/14/S,TRUE
33,FALSE,Earth,E/3/S,TRUE
62,FALSE,Earth,G/6/P,FALSE
0,FALSE,Earth,G/10/S,TRUE
18,FALSE,Earth,G/10/S,TRUE
21,FALSE,Earth,F/15/S,FALSE
7,FALSE,Mars,E/4/S,FALSE
42,FALSE,Earth,F/16/S,TRUE
19,FALSE,Earth,F/13/P,FALSE
17,FALSE,Earth,F/14/P,FALSE
14,FALSE,Earth,F/17/S,FALSE
37,FALSE,Mars,D/3/P,FALSE
42,FALSE,Europa,C/3/S,TRUE
27,FALSE,Mars,F/18/S,TRUE
28,FALSE,Mars,F/15/P,TRUE
38,FALSE,Europa,C/4/S,FALSE
13,FALSE,Earth,G/13/S,FALSE
42,FALSE,Mars,F/16/P,FALSE
2,FALSE,Mars,F/16/P,TRUE
8,FALSE,Mars,F/16/P,TRUE
24,FALSE,Earth,G/14/S,TRUE
40,FALSE,Europa,C/5/S,TRUE
43,FALSE,Earth,F/17/P,FALSE
45,FALSE,Mars,E/5/S,TRUE
35,FALSE,Earth,G/15/S,TRUE
26,FALSE,Earth,G/16/S,TRUE
27,FALSE,Earth,F/20/S,FALSE
19,FALSE,Earth,G/9/P,FALSE
0,FALSE,Earth,G/9/P,TRUE
3,FALSE,Earth,G/9/P,TRUE
54,FALSE,Europa,A/2/S,FALSE
26,FALSE,Earth,G/11/P,FALSE
26,FALSE,Earth,G/11/P,TRUE
23,FALSE,Earth,F/19/P,FALSE
2,FALSE,Earth,G/12/P,TRUE
31,FALSE,Mars,"",TRUE
18,FALSE,Earth,F/23/S,FALSE
24,FALSE,Earth,F/24/S,TRUE
9,FALSE,Earth,G/18/S,TRUE
6,FALSE,Earth,G/18/S,FALSE
27,FALSE,Earth,F/21/P,FALSE
21,FALSE,Mars,D/2/S,FALSE
23,FALSE,Earth,G/19/S,FALSE
31,FALSE,Earth,G/19/S,FALSE
0,FALSE,Earth,G/19/S,TRUE
32,FALSE,Europa,"",FALSE
40,FALSE,Europa,B/5/P,FALSE
42,FALSE,Europa,B/5/P,TRUE
28,FALSE,Europa,B/5/P,TRUE
29,FALSE,Europa,E/6/S,TRUE
48,TRUE,Europa,B/1/S,TRUE
64,FALSE,Earth,F/23/P,TRUE
27,FALSE,Earth,G/20/S,FALSE
26,FALSE,Mars,F/24/P,TRUE
33,FALSE,Europa,D/4/P,TRUE
39,FALSE,Europa,A/0/P,FALSE
13,FALSE,Europa,A/0/P,TRUE
24,FALSE,Mars,F/25/P,TRUE
29,FALSE,Earth,G/21/S,FALSE
18,FALSE,Earth,F/27/P,FALSE
67,FALSE,Mars,F/27/S,TRUE
35,FALSE,Mars,E/7/S,FALSE
61,TRUE,Mars,D/3/S,FALSE
45,FALSE,Mars,E/8/S,FALSE
22,FALSE,Earth,G/22/S,TRUE
